Application / Award Number,Grantee Access Enabled?,Primary Institution,City,State,Title,Division/Office,Program,Deadline,Council Number Date,Status,Awarded,Award FY,Latitude,Longitude
1800013-42-86,FALSE,Alabama Agricultural and Mechanical University,Normal,AL,To support planning for the preparation of a master plan for revitalizing this 1890 state land-grant university,Design,Other,,085 August 1985 NCA,Closed Out,$0.00 ,1986,34.7846326,-86.572031
1892613-54,FALSE,Alabama State University,Montgomery,AL,Support The Black Arts Innovation Dance & Theatre Festival,Presenting & Multidisciplinary Works,Grants for Arts Projects,7/8/21,206 March 2022 NCA,Withdrawn by Applicant,$0.00 ,,32.3636619,-86.2940544
1895227-51,FALSE,Alabama State University,Montgomery,AL,Piano for Children: Music Education for Underserved Youth,Arts Education,Grants for Arts Projects,7/8/21,206 March 2022 NCA,Not Recommended,$0.00 ,,32.3636619,-86.2940544
1903321-66,FALSE,Alabama State University,Montgomery,AL,,American Rescue Plan,American Rescue Plan (ARP) Grants to Organizations,8/12/21,205 December 2021 NCA,Rejected,$0.00 ,,32.3636619,-86.2940544
1884003-55-21,TRUE,Alabama State University,Montgomery,AL,To support  a visual storytelling project focused on Black artistry and cultural heritage.,Folk & Traditional Arts,Grants for Arts Projects,7/9/20,202 March 2021 NCA,Awarded,"$10,000.00 ",2021,32.3636619,-86.2940544
1834797-38,FALSE,Alabama State University,Montgomery,AL,The American Theatre of Being and its impact on the role of African Americans on the American Theatre Stage,Research,Art Works: Research,10/21/14,184 March 2015 NCA,Rejected,$0.00 ,,32.3636619,-86.2940544
1834798-38,FALSE,Alabama State University,Montgomery,AL,The Orange Economy: To support the analysis of cultural production satellite accounts between South Florida and the Latin American & Caribbean creative economies to develop import and export policies.,Research,Art Works: Research,10/21/14,184 March 2015 NCA,Incomplete,$0.00 ,,32.3636619,-86.2940544
1838436,FALSE,Alabama State University,Montgomery,AL,"Deep Roots, Strong Branches Juneteenth New Play Fe stival",,Art Works,2/20/14,183 October 2014 NCA,Incomplete,$0.00 ,,32.3636619,-86.2940544
1645701-38,FALSE,Alabama State University,Montgomery,AL,The Impact of Summer Arts Camps:  A Case Study of Tonea Stewart Performing Arts Camp,Research,Art Works: Research,11/8/11,175 March 2012 NCA,Rejected,$0.00 ,,32.3636619,-86.2940544
1653369-34,FALSE,Alabama State University,Montgomery,AL,"""The Making of a Cultural Equinox""",Media Arts,Arts on Radio and TV,9/2/10,172 March 2011 NCA,Rejected,$0.00 ,,32.3636619,-86.2940544
